"id","line_end","line_start","name","path","target_type"
"r_function::inst/app/modules/mod_admin_audit.R::mod_admin_audit_server",171,35,"mod_admin_audit_server","inst/app/modules/mod_admin_audit.R","r_function"
"r_function::inst/app/modules/mod_admin_audit.R::mod_admin_audit_ui",33,5,"mod_admin_audit_ui","inst/app/modules/mod_admin_audit.R","r_function"
"r_function::inst/app/modules/mod_admin_codes.R::mod_admin_codes_server",144,27,"mod_admin_codes_server","inst/app/modules/mod_admin_codes.R","r_function"
"r_function::inst/app/modules/mod_admin_codes.R::mod_admin_codes_ui",25,5,"mod_admin_codes_ui","inst/app/modules/mod_admin_codes.R","r_function"
"r_function::inst/app/modules/mod_admin_master.R::mod_admin_master_server",382,61,"mod_admin_master_server","inst/app/modules/mod_admin_master.R","r_function"
"r_function::inst/app/modules/mod_admin_master.R::mod_admin_master_ui",59,5,"mod_admin_master_ui","inst/app/modules/mod_admin_master.R","r_function"
"r_function::inst/app/modules/mod_admin_merge.R::mod_admin_merge_server",508,49,"mod_admin_merge_server","inst/app/modules/mod_admin_merge.R","r_function"
"r_function::inst/app/modules/mod_admin_merge.R::mod_admin_merge_ui",47,6,"mod_admin_merge_ui","inst/app/modules/mod_admin_merge.R","r_function"
"r_function::inst/app/modules/mod_admin_projects.R::mod_admin_projects_server",172,33,"mod_admin_projects_server","inst/app/modules/mod_admin_projects.R","r_function"
"r_function::inst/app/modules/mod_admin_projects.R::mod_admin_projects_ui",31,5,"mod_admin_projects_ui","inst/app/modules/mod_admin_projects.R","r_function"
"r_function::inst/app/modules/mod_admin_publishing.R::download_panel_ui",52,32,"download_panel_ui","inst/app/modules/mod_admin_publishing.R","r_function"
"r_function::inst/app/modules/mod_admin_publishing.R::mod_admin_publishing_server",259,62,"mod_admin_publishing_server","inst/app/modules/mod_admin_publishing.R","r_function"
"r_function::inst/app/modules/mod_admin_publishing.R::mod_admin_publishing_ui",60,54,"mod_admin_publishing_ui","inst/app/modules/mod_admin_publishing.R","r_function"
"r_function::inst/app/modules/mod_admin_publishing.R::publish_panel_ui",30,6,"publish_panel_ui","inst/app/modules/mod_admin_publishing.R","r_function"
"r_function::inst/app/modules/mod_admin.R::mod_admin_server",33,24,"mod_admin_server","inst/app/modules/mod_admin.R","r_function"
"r_function::inst/app/modules/mod_admin.R::mod_admin_ui",22,7,"mod_admin_ui","inst/app/modules/mod_admin.R","r_function"
"r_function::inst/app/modules/mod_auth_status.R::.auth_role_palette",28,12,".auth_role_palette","inst/app/modules/mod_auth_status.R","r_function"
"r_function::inst/app/modules/mod_auth_status.R::auth_logout_icon_ui",72,61,"auth_logout_icon_ui","inst/app/modules/mod_auth_status.R","r_function"
"r_function::inst/app/modules/mod_auth_status.R::auth_role_badge_ui",59,30,"auth_role_badge_ui","inst/app/modules/mod_auth_status.R","r_function"
"r_function::inst/app/modules/mod_auth_status.R::mod_auth_status_server",138,78,"mod_auth_status_server","inst/app/modules/mod_auth_status.R","r_function"
"r_function::inst/app/modules/mod_auth_status.R::mod_auth_status_ui",10,7,"mod_auth_status_ui","inst/app/modules/mod_auth_status.R","r_function"
"r_function::inst/app/modules/mod_auth.R::mod_auth_server",385,8,"mod_auth_server","inst/app/modules/mod_auth.R","r_function"
"r_function::inst/app/modules/mod_auth.R::mod_auth_ui",4,1,"mod_auth_ui","inst/app/modules/mod_auth.R","r_function"
"r_function::inst/app/modules/mod_becweb_map.R::mod_becweb_map_server",599,129,"mod_becweb_map_server","inst/app/modules/mod_becweb_map.R","r_function"
"r_function::inst/app/modules/mod_becweb_map.R::mod_becweb_map_ui",117,31,"mod_becweb_map_ui","inst/app/modules/mod_becweb_map.R","r_function"
"r_function::inst/app/modules/mod_colour_theme.R::mod_colour_theme_server",134,37,"mod_colour_theme_server","inst/app/modules/mod_colour_theme.R","r_function"
"r_function::inst/app/modules/mod_colour_theme.R::mod_colour_theme_ui",35,9,"mod_colour_theme_ui","inst/app/modules/mod_colour_theme.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::combine_species_list_lump_tables",13,1,"combine_species_list_lump_tables","inst/app/modules/mod_combine_species.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::combine_species_lump_column_map",65,37,"combine_species_lump_column_map","inst/app/modules/mod_combine_species.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::combine_species_resolve_lump_table",35,15,"combine_species_resolve_lump_table","inst/app/modules/mod_combine_species.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::combine_species_species_fields",73,67,"combine_species_species_fields","inst/app/modules/mod_combine_species.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::mod_combine_species_server",992,261,"mod_combine_species_server","inst/app/modules/mod_combine_species.R","r_function"
"r_function::inst/app/modules/mod_combine_species.R::mod_combine_species_ui",259,75,"mod_combine_species_ui","inst/app/modules/mod_combine_species.R","r_function"
